anon_id,course_year,course_code,course_name,assessment_mark
S2fc57eb0,2019/0,MATH08057,Introduction to Linear Algebra,65
Sd96d0c2f,2019/0,MATH08057,Introduction to Linear Algebra,46
S98e9e60d,2019/0,MATH08057,Introduction to Linear Algebra,87
S98e9e60d,2019/0,MATH08058,Calculus and its Applications,100
S6b0bd5e0,2019/0,MATH08058,Calculus and its Applications,91
Sa1826bc8,2019/0,MATH08057,Introduction to Linear Algebra,91
Sa1826bc8,2019/0,MATH08058,Calculus and its Applications,98
S3a0ba058,2019/0,MATH08057,Introduction to Linear Algebra,35
Se42bc96c,2019/0,MATH08057,Introduction to Linear Algebra,95
Se42bc96c,2019/0,MATH08058,Calculus and its Applications,94
S4a7fffb5,2019/0,MATH08057,Introduction to Linear Algebra,61
S4a7fffb5,2019/0,MATH08058,Calculus and its Applications,54
S5bf47c19,2019/0,MATH08057,Introduction to Linear Algebra,94
S5bf47c19,2019/0,MATH08058,Calculus and its Applications,100
Sa2088fe5,2019/0,MATH08057,Introduction to Linear Algebra,79
Sa2088fe5,2019/0,MATH08058,Calculus and its Applications,99
Sa8020088,2019/0,MATH08057,Introduction to Linear Algebra,97
Sa8020088,2019/0,MATH08058,Calculus and its Applications,91
Sdb28674c,2020/1,MATH07003,Fundamentals of Algebra and Calculus,17
S39bd6fe3,2020/1,MATH08058,Calculus and its Applications,NA
Sd19e21e7,2019/0,MATH08057,Introduction to Linear Algebra,91
Sd19e21e7,2019/0,MATH08058,Calculus and its Applications,100
Sca157791,2019/0,MATH08057,Introduction to Linear Algebra,95
Sca157791,2019/0,MATH08058,Calculus and its Applications,98
Se721cf11,2019/0,MATH08057,Introduction to Linear Algebra,87
Se721cf11,2019/0,MATH08058,Calculus and its Applications,92
S1b098a04,2019/0,MATH08057,Introduction to Linear Algebra,46
S1b098a04,2019/0,MATH08058,Calculus and its Applications,0
S5a71ad69,2019/0,MATH08057,Introduction to Linear Algebra,95
S5a71ad69,2019/0,MATH08058,Calculus and its Applications,92
S0583efa8,2019/0,MATH08057,Introduction to Linear Algebra,91
S0583efa8,2019/0,MATH08058,Calculus and its Applications,100
Sc5149191,2019/0,MATH08057,Introduction to Linear Algebra,73
Sc5149191,2019/0,MATH08058,Calculus and its Applications,95
S5b5da394,2019/0,MATH08057,Introduction to Linear Algebra,51
S5b5da394,2019/0,MATH08058,Calculus and its Applications,98
S3922c14f,2019/0,MATH08057,Introduction to Linear Algebra,98
S3922c14f,2019/0,MATH08058,Calculus and its Applications,100
Sa243fd4d,2019/0,MATH08057,Introduction to Linear Algebra,94
Sa243fd4d,2019/0,MATH08058,Calculus and its Applications,100
S1e349248,2019/0,MATH08057,Introduction to Linear Algebra,61
S1e349248,2019/0,MATH08058,Calculus and its Applications,80
Sdea9b6c6,2019/0,MATH08057,Introduction to Linear Algebra,57
Sdea9b6c6,2019/0,MATH08058,Calculus and its Applications,0
S8523ae43,2019/0,MATH07003,Fundamentals of Algebra and Calculus,76
S8523ae43,2019/0,MATH08058,Calculus and its Applications,85
S8b8ea4ee,2019/0,MATH08057,Introduction to Linear Algebra,95
S8b8ea4ee,2019/0,MATH08058,Calculus and its Applications,98
S81842b83,2019/0,MATH08057,Introduction to Linear Algebra,52
S1a5384f0,2020/1,MATH07003,Fundamentals of Algebra and Calculus,88
S1a5384f0,2020/1,MATH08057,Introduction to Linear Algebra,97
S1a5384f0,2020/1,MATH08058,Calculus and its Applications,NA
Sf0ff1df9,2019/0,MATH08057,Introduction to Linear Algebra,66
Sf0ff1df9,2019/0,MATH08058,Calculus and its Applications,94
S3fa84f8f,2019/0,MATH08057,Introduction to Linear Algebra,51
S3fa84f8f,2019/0,MATH08058,Calculus and its Applications,0
S861fd91f,2019/0,MATH08057,Introduction to Linear Algebra,79
S861fd91f,2019/0,MATH08058,Calculus and its Applications,85
S835fc2da,2019/0,MATH08057,Introduction to Linear Algebra,94
S835fc2da,2019/0,MATH08058,Calculus and its Applications,96
Sf0579b43,2019/0,MATH08057,Introduction to Linear Algebra,40
Sf0579b43,2019/0,MATH08058,Calculus and its Applications,66
Seb5c2f65,2019/0,MATH08057,Introduction to Linear Algebra,93
Seb5c2f65,2019/0,MATH08058,Calculus and its Applications,100
Sbf0254d3,2020/1,MATH08057,Introduction to Linear Algebra,52
Sbf0254d3,2020/1,MATH08058,Calculus and its Applications,NA
Sd27d893f,2020/1,MATH08058,Calculus and its Applications,NA
Sbf14a847,2019/0,MATH08057,Introduction to Linear Algebra,75
Sbf14a847,2019/0,MATH08058,Calculus and its Applications,79
Sa195ce6b,2020/1,MATH08057,Introduction to Linear Algebra,89
Sa15f07a4,2019/0,MATH08057,Introduction to Linear Algebra,85
Sa15f07a4,2019/0,MATH08058,Calculus and its Applications,94
S24dd12ff,2019/0,MATH08057,Introduction to Linear Algebra,94
S24dd12ff,2019/0,MATH08058,Calculus and its Applications,97
S17fc617f,2019/0,MATH08057,Introduction to Linear Algebra,62
S17fc617f,2019/0,MATH08058,Calculus and its Applications,72
S18b6f5d7,2019/0,MATH08057,Introduction to Linear Algebra,78
S18b6f5d7,2019/0,MATH08058,Calculus and its Applications,90
Sbabc4410,2019/0,MATH08057,Introduction to Linear Algebra,98
Sbabc4410,2019/0,MATH08058,Calculus and its Applications,74
Sccd63811,2019/0,MATH08057,Introduction to Linear Algebra,76
Sccd63811,2019/0,MATH08058,Calculus and its Applications,73
Sba7cd768,2019/0,MATH08057,Introduction to Linear Algebra,62
Sba7cd768,2019/0,MATH08058,Calculus and its Applications,92
S35f44d5e,2019/0,MATH08057,Introduction to Linear Algebra,89
S35f44d5e,2019/0,MATH08058,Calculus and its Applications,100
Sc3566576,2019/0,MATH08057,Introduction to Linear Algebra,67
Sc3566576,2019/0,MATH08058,Calculus and its Applications,50
Sabbd7f5b,2019/0,MATH08057,Introduction to Linear Algebra,71
Sabbd7f5b,2019/0,MATH08058,Calculus and its Applications,93
Sd97adc2d,2019/0,MATH08057,Introduction to Linear Algebra,82
Sd97adc2d,2019/0,MATH08058,Calculus and its Applications,94
S13b3132d,2019/0,MATH08057,Introduction to Linear Algebra,98
S13b3132d,2019/0,MATH08058,Calculus and its Applications,100
S659344b3,2019/0,MATH08057,Introduction to Linear Algebra,64
S659344b3,2019/0,MATH08058,Calculus and its Applications,89
S6756b821,2019/0,MATH08057,Introduction to Linear Algebra,68
S6756b821,2019/0,MATH08058,Calculus and its Applications,74
Sa801ea57,2019/0,MATH08058,Calculus and its Applications,93
Sdbff5197,2019/0,MATH07003,Fundamentals of Algebra and Calculus,70
Sdbff5197,2019/0,MATH08057,Introduction to Linear Algebra,85
Sdbff5197,2019/0,MATH08058,Calculus and its Applications,100
S85ebd464,2019/0,MATH08057,Introduction to Linear Algebra,80
S85ebd464,2019/0,MATH08058,Calculus and its Applications,100
S22579c3f,2019/0,MATH08057,Introduction to Linear Algebra,95
S22579c3f,2019/0,MATH08058,Calculus and its Applications,100
Sd47f0cf0,2019/0,MATH08057,Introduction to Linear Algebra,70
Sd47f0cf0,2019/0,MATH08058,Calculus and its Applications,68
Sb9947c30,2019/0,MATH08057,Introduction to Linear Algebra,72
Sb9947c30,2019/0,MATH08058,Calculus and its Applications,59
S62429db0,2020/1,MATH08057,Introduction to Linear Algebra,76
S62429db0,2020/1,MATH08058,Calculus and its Applications,NA
S453cdb75,2019/0,MATH08057,Introduction to Linear Algebra,56
S453cdb75,2019/0,MATH08058,Calculus and its Applications,91
S8a6b8903,2020/1,MATH08058,Calculus and its Applications,NA
S2db58e2d,2019/0,MATH08057,Introduction to Linear Algebra,92
S2db58e2d,2019/0,MATH08058,Calculus and its Applications,97
S4a1400a8,2020/1,MATH08057,Introduction to Linear Algebra,86
S4a1400a8,2020/1,MATH08058,Calculus and its Applications,NA
S0f55559e,2019/0,MATH08057,Introduction to Linear Algebra,90
S0f55559e,2019/0,MATH08058,Calculus and its Applications,99
Scf08e268,2019/0,MATH08057,Introduction to Linear Algebra,64
Se236005f,2019/0,MATH08057,Introduction to Linear Algebra,83
Se236005f,2019/0,MATH08058,Calculus and its Applications,94
Sed3ce5df,2019/0,MATH08057,Introduction to Linear Algebra,90
Sed3ce5df,2019/0,MATH08058,Calculus and its Applications,95
S0001d4fd,2019/0,MATH08057,Introduction to Linear Algebra,39
S0001d4fd,2019/0,MATH08058,Calculus and its Applications,53
Sb3a2d8cb,2019/0,MATH08057,Introduction to Linear Algebra,61
Sb3a2d8cb,2019/0,MATH08058,Calculus and its Applications,0
S68eaced0,2019/0,MATH08057,Introduction to Linear Algebra,98
S68eaced0,2019/0,MATH08058,Calculus and its Applications,97
S7cb5fb95,2019/0,MATH08058,Calculus and its Applications,100
S7cb5fb95,2020/1,MATH08057,Introduction to Linear Algebra,98
Sde09d923,2020/1,MATH08057,Introduction to Linear Algebra,72
Sde09d923,2020/1,MATH08058,Calculus and its Applications,NA
Scf1cad14,2019/0,MATH08057,Introduction to Linear Algebra,96
Scf1cad14,2019/0,MATH08058,Calculus and its Applications,100
S669942ce,2019/0,MATH08057,Introduction to Linear Algebra,85
S669942ce,2019/0,MATH08058,Calculus and its Applications,94
