cohort,anon_id,Post,Pre,ILA,CAP,FAC,took_FAC
2021,S521e37bf,34.38,51.38,63,NA,NA,No FAC
2021,Seeb2531d,80.25,70,75,NA,NA,No FAC
2021,S34abdaf2,92,100,80,NA,NA,No FAC
2021,S94234af3,88,87,70,NA,NA,No FAC
2021,S9b00da08,41.88,NA,77,NA,NA,No FAC
2021,Sa15e331d,97,93.13,NA,NA,NA,No FAC
2021,S640d1533,90.75,68,74,NA,NA,No FAC
2021,S42a90aea,100,97,75,NA,88,FAC
2021,S20bd972c,87.5,88.75,85,NA,NA,No FAC
2021,S87297b84,80.38,100,93,NA,NA,No FAC
